full_text,klasifikasi,klasifikasi_bayes
said didu nilai ikn pindah tukang bakso jakarta ibu kota baru bukan pindah pusat ekonomi,netral,netral
coba bandar suruh bangun ikn lolosaman operasi,netral,netral
ada kata selain keren bisa deskripsi pln bangun ikn,netral,netral
hidup sdsb sumbang dana sosial hadiah menyalesaikan ikn pada uang rakyat indonesia lari ln lewat judol,netral,netral
salah data ppatk kutip duit segitu kalau embat cukup bangun ikn,netral,netral
hahaha sekali studi banding pyramid buat ikn,positif,netral
prof h m amien rais ma ketua majelis sayaura partai umat skandal politik fatamorangana nama ikn ikn pasti mangkrakkrak ada imvestor luar tarik investor negeri ecekecek kuasa jokowi akn cabut uu ada raison detre,netral,netral
kata presiden jokowi investor asing sdh antri masuk ikndari singapura jepang masak bohong,netral,netral
siapa sini takjub takjub bangun ikn saya,netral,netral
juga isi ikn spt apa sebut si bulemrk kumpul disanamrk mrk sajapejabat eksekutif legislatif yudikatif jabat tinggi rendah jejak rekam putar itu spt kata si bulemasih yang sangkal yang dukung wowo wiwi,netral,netral
prof h m amien rais ma ketua majelis sayaura partai umat skandal politik fatamorangana nama ikn ikn pasti mangkrakkrak ada imvestor luar tarik investor negeri ecekecek kuasa jokowi akn cabut uu ada raison detre,netral,netral
hoaks kpk bongkar dana tapera gelap ikn,netral,netral
kalau ikn jauh bgt cepat aku jkt pada sana yaudah hiking ke hallasan sambil ikutin orang honeymoon,netral,netral
padahal ikn lebih vulnerable,negatif,netral
prof h m amien rais ma ketua majelis sayaura partai umat skandal politik fatamorangana nama ikn ikn pasti mangkrakkrak ada imvestor luar tarik investor negeri ecekecek kuasa jokowi akn cabut uu ada raison detre,netral,netral
ancang konsep ikn kritik pedas realisasi bijak jokowi makin lenceng etidak logis,netral,netral
indonesia emas omon omon beras amp tenaga listrik impor bgmn penuh butuh kalau ikn jadi orde lama bikin plta karangkates amp jatiluhur resmi orba orba tambah saguling ten panas bumi kamojang plta jokowi,netral,netral
masalah jadi ikn ialah sulit tarik investor ikn dasar bijak sudah keliru sejak awal,netral,netral
kerja ap gmn ikn,netral,netral
