"conversation_id_str","created_at","favorite_count","full_text","id_str","image_url","in_reply_to_screen_name","lang","location","quote_count","reply_count","retweet_count","tweet_url","user_id_str","username"
"1801959804791144782","Sat Jun 15 12:47:50 +0000 2024","5","Said Didu Menilai IKN Hanya Pindahkan Tukang Bakso dari Jakarta ke Ibu Kota Baru Bukan Perpindahan Pusat Ekonomi https://t.co/g6DSs8txrT","1801959804791144782","","","in","","0","0","3","https://x.com/OposisiCerdas/status/1801959804791144782","887743587579944960","OposisiCerdas"
"1801438533024198681","Sat Jun 15 12:46:39 +0000 2024","0","@msaid_didu Coba bandarnya suruh bangun IKN pasti lolos...aman beroperasi","1801959506097963009","","msaid_didu","in","Jogjakarta","0","0","0","https://x.com/tokadhy/status/1801959506097963009","2441592662","tokadhy"
"1801959390083461612","Sat Jun 15 12:46:12 +0000 2024","0","apakah ada kata lain selain keren yang bisa mendeskripsikan PLN di pembangunan IKN? : ) https://t.co/SxdaB3120i","1801959390083461612","https://pbs.twimg.com/ext_tw_video_thumb/1801959227092799488/pu/img/Wz_1kd9Vd5UTwuos.jpg","","in","","0","0","0","https://x.com/acalaayu/status/1801959390083461612","1771188034542931968","acalaayu"
"1801921649635389745","Sat Jun 15 12:45:29 +0000 2024","0","@yusuf_dumdum Hidupkan lagi SDSB (Sumbangan Dana Sosial Berhadiah) untuk menyelesaikan IKN Dari pada uang rakyat Indonesia lari ke LN lewat JUDOL ","1801959210407833715","","yusuf_dumdum","in","","0","0","0","https://x.com/aselisnack/status/1801959210407833715","705196111137353728","aselisnack"
"1801513972631486949","Sat Jun 15 12:45:21 +0000 2024","1","@MarAthusholihah @gilang_ahm31272 @ridwankamil Gak salah nih data dari PPATK di kutip @kumparan duit segitu kalau gak embat cukup bangun IKN https://t.co/1xeqc3m2PV","1801959179936211269","https://pbs.twimg.com/media/GQHYUunaUAAu0Td.jpg","MarAthusholihah","in","indonesia","0","0","1","https://x.com/ballambinlove/status/1801959179936211269","114452217","ballambinlove"
"1801946668910498059","Sat Jun 15 12:44:46 +0000 2024","0","@mamihnyaupi @ArgentianaA Hahaha sekalian studi banding pyramid buat di ikn","1801959033060065319","","mamihnyaupi","in","","0","1","0","https://x.com/clovewithoutc/status/1801959033060065319","1755571449547628544","clovewithoutc"
"1801952752928702965","Sat Jun 15 12:43:02 +0000 2024","1","@arifin34533 @hansssolo Prof. Dr. H. M. Amien Rais M.A Ketua Majelis Syura Partai Umat Skandal Politik Fatamorgana yg bernama IKN IKN dipastikan Mangkrak....Krak Tidak ada imvestor luar yg tertarik. Investor dalam negeri Ecek..Ecek Kekuasaan Jokowi akn dicabut oleh UU Tidak ada lagi Raison Detre https://t.co/KxjngkQpAU","1801958596760256597","https://pbs.twimg.com/ext_tw_video_thumb/1801958446134374400/pu/img/iRCv-2WQkNK7doPL.jpg","arifin34533","in","","0","0","0","https://x.com/SuwandaBen/status/1801958596760256597","2718336037","SuwandaBen"
"1801958483463680007","Sat Jun 15 12:42:35 +0000 2024","0","Kata presiden Jokowi investor asing sdh antri akan masuk IKN.Dari Singapura 130 dari Jepang 30.Masak bohong? @bahlillahadalia","1801958483463680007","","","in","Bogor,Jabar","0","0","0","https://x.com/HendZiddane/status/1801958483463680007","1639157189792378882","HendZiddane"
"1801958427369091268","Sat Jun 15 12:42:22 +0000 2024","0","Siapa disini yang tertakjub - takjub dengan pembangunan IKN ? saya - saya https://t.co/t5jhy1jdey","1801958427369091268","https://pbs.twimg.com/media/GQHXhiyaYAAtGhM.jpg","","in","","0","0","0","https://x.com/acalaayu/status/1801958427369091268","1771188034542931968","acalaayu"
"1801811761185833355","Sat Jun 15 12:40:52 +0000 2024","0","@5teV3n_Pe9eL Nanti juga isi IKN spt apa yg disebut si bule.Mrk akan kumpul disana.Mrk mrk saja.Pejabat eksekutif legislatif yudikatif para pejabat tinggi sampai rendah yang jejak rekamnya diseputar itu itu saja (spt kata si bule.Masih ada yang menyangkal ? Pasti yang 58% pendukung wowo wiwi","1801958050909265971","","5teV3n_Pe9eL","in","","0","0","0","https://x.com/Tukanglas_plg/status/1801958050909265971","2855803759","Tukanglas_plg"
